DISTRICT_NAME,grid_point_count
Alwar,1.0
Baghpat,0.0
Bharatpur,0.0
Bulandshahr,0.0
Gautam Buddha Nagar,0.0
Ghaziabad,0.0
Hapur,0.0
Meerut,1.0
Muzaffarnagar,0.0
New Delhi,0.0
Shahdara,0.0
Shamli,0.0
West,0.0
Bhiwani,0.0
Faridabad,0.0
Gurugram,0.0
Jhajjar,0.0
Jind,0.0
Karnal,0.0
Mahendragarh,0.0
Nuh,0.0
Palwal,0.0
Panipat,0.0
Rewari,0.0
Rohtak,1.0
Sonipat,0.0
Charki Dadri,0.0
North West Delhi,0.0
North Delhi,0.0
North East Delhi,0.0
Central Delhi,0.0
East Delhi,0.0
South Delhi,0.0
South West Delhi,0.0
West Delhi,0.0
South East Delhi,0.0
