district_geojson,year,currentlevel,level_diff,TIME_ISO
Alwar,2013,20.221340206185566,-0.15670103092783505,2013-01-01T00:00:00
Alwar,2014,18.811501746216532,0.062211874272409776,2014-01-01T00:00:00
Alwar,2015,20.47665071770335,0.056507177033492825,2015-01-01T00:00:00
Alwar,2016,20.423366708385483,0.022690863579474342,2016-01-01T00:00:00
Alwar,2017,21.66218335343788,0.11560916767189386,2017-01-01T00:00:00
Alwar,2018,22.96452736318408,0.004601990049751246,2018-01-01T00:00:00
Alwar,2019,24.130925221799746,0.02680608365019011,2019-01-01T00:00:00
Alwar,2020,24.073762886597937,0.06542525773195877,2020-01-01T00:00:00
Alwar,2021,24.266796116504853,0.1276051779935275,2021-01-01T00:00:00
Baghpat,2013,23.906666666666666,0.9033333333333333,2013-01-01T00:00:00
Baghpat,2014,22.973333333333333,-0.24333333333333332,2014-01-01T00:00:00
Baghpat,2015,21.233333333333334,-0.8166666666666668,2015-01-01T00:00:00
Baghpat,2016,24.35,5.3,2016-01-01T00:00:00
Baghpat,2019,23.06,0.95,2019-01-01T00:00:00
Baghpat,2020,27.576666666666668,0.4083333333333334,2020-01-01T00:00:00
Baghpat,2021,28.07,-0.15500000000000003,2021-01-01T00:00:00
Bharatpur,2013,10.44443661971831,-0.525,2013-01-01T00:00:00
Bharatpur,2014,12.61705426356589,0.6989147286821705,2014-01-01T00:00:00
Bharatpur,2015,13.24405172413793,0.260948275862069,2015-01-01T00:00:00
Bharatpur,2016,12.417173913043479,0.1917391304347826,2016-01-01T00:00:00
Bharatpur,2017,13.046608695652173,0.06530434782608698,2017-01-01T00:00:00
Bharatpur,2018,15.446117647058824,-0.05894117647058822,2018-01-01T00:00:00
Bharatpur,2019,15.320243902439024,-0.18353658536585366,2019-01-01T00:00:00
Bharatpur,2020,14.28,0.30533333333333335,2020-01-01T00:00:00
Bharatpur,2021,15.107857142857142,0.2971428571428572,2021-01-01T00:00:00
Bhiwani,2013,12.953936170212767,1.0093617021276595,2013-01-01T00:00:00
Bhiwani,2014,12.32060606060606,0.17606060606060606,2014-01-01T00:00:00
Bhiwani,2015,12.834320987654321,0.46209876543209877,2015-01-01T00:00:00
Bhiwani,2016,12.167941176470588,-0.3041176470588236,2016-01-01T00:00:00
Bhiwani,2017,10.273956043956044,0.0575824175824176,2017-01-01T00:00:00
Bhiwani,2018,12.424341085271317,-0.1813953488372093,2018-01-01T00:00:00
Bhiwani,2019,12.523132530120483,0.4672289156626506,2019-01-01T00:00:00
Bhiwani,2020,11.793764705882353,0.09,2020-01-01T00:00:00
Bhiwani,2021,14.254615384615384,-0.025384615384615387,2021-01-01T00:00:00
Bulandshahr,2013,7.133448275862069,-0.17310344827586208,2013-01-01T00:00:00
Bulandshahr,2014,7.577,0.027499999999999997,2014-01-01T00:00:00
Bulandshahr,2015,7.078888888888889,0.21777777777777776,2015-01-01T00:00:00
Bulandshahr,2016,6.95,-0.309375,2016-01-01T00:00:00
Bulandshahr,2017,8.1608,0.40800000000000003,2017-01-01T00:00:00
Bulandshahr,2018,7.891153846153846,-0.020769230769230762,2018-01-01T00:00:00
Bulandshahr,2019,8.687619047619048,0.13619047619047617,2019-01-01T00:00:00
Bulandshahr,2020,9.031428571428572,0.15285714285714286,2020-01-01T00:00:00
Bulandshahr,2021,6.68,-0.34,2021-01-01T00:00:00
Central Delhi,2013,4.2,-21.66,2013-01-01T00:00:00
Charki Dadri,2013,11.908,-0.36400000000000005,2013-01-01T00:00:00
Charki Dadri,2014,14.415263157894737,0.3721052631578947,2014-01-01T00:00:00
Charki Dadri,2015,12.831428571428573,0.1082142857142857,2015-01-01T00:00:00
Charki Dadri,2016,15.958235294117648,0.13647058823529412,2016-01-01T00:00:00
Charki Dadri,2017,12.63529411764706,0.5294117647058824,2017-01-01T00:00:00
Charki Dadri,2018,13.775263157894738,-0.004210526315789454,2018-01-01T00:00:00
Charki Dadri,2020,10.339333333333334,0.9266666666666665,2020-01-01T00:00:00
Charki Dadri,2021,2.8925,0.225,2021-01-01T00:00:00
Faridabad,2013,31.467857142857145,3.2121428571428576,2013-01-01T00:00:00
Faridabad,2014,27.123333333333335,1.2291666666666667,2014-01-01T00:00:00
Faridabad,2015,21.42375,0.67875,2015-01-01T00:00:00
Faridabad,2016,19.56,0.9612499999999999,2016-01-01T00:00:00
Faridabad,2017,19.83625,0.5925,2017-01-01T00:00:00
Faridabad,2018,24.928846153846152,-0.06846153846153834,2018-01-01T00:00:00
Faridabad,2019,28.56153846153846,2.0215384615384617,2019-01-01T00:00:00
Faridabad,2020,35.02875,2.925,2020-01-01T00:00:00
Faridabad,2021,34.1875,-0.9125,2021-01-01T00:00:00
Gautam Buddha Nagar,2013,14.102580645161291,0.2945161290322581,2013-01-01T00:00:00
Gautam Buddha Nagar,2014,14.6828,0.27759999999999996,2014-01-01T00:00:00
Gautam Buddha Nagar,2015,15.376296296296296,0.4248148148148149,2015-01-01T00:00:00
Gautam Buddha Nagar,2016,16.50952380952381,-0.015714285714285764,2016-01-01T00:00:00
Gautam Buddha Nagar,2017,15.545217391304348,0.42782608695652175,2017-01-01T00:00:00
Gautam Buddha Nagar,2018,17.65590909090909,0.375,2018-01-01T00:00:00
Gautam Buddha Nagar,2019,20.71681818181818,-0.0990909090909091,2019-01-01T00:00:00
Gautam Buddha Nagar,2020,20.744,1.286,2020-01-01T00:00:00
Gautam Buddha Nagar,2021,11.416666666666666,-6.41,2021-01-01T00:00:00
Ghaziabad,2013,9.2135,-0.4074999999999999,2013-01-01T00:00:00
Ghaziabad,2014,7.72090909090909,0.22454545454545458,2014-01-01T00:00:00
Ghaziabad,2015,9.551,0.05500000000000001,2015-01-01T00:00:00
Ghaziabad,2016,10.633,0.23700000000000002,2016-01-01T00:00:00
Ghaziabad,2017,9.473888888888888,0.08833333333333332,2017-01-01T00:00:00
Ghaziabad,2018,11.137857142857143,0.2642857142857143,2018-01-01T00:00:00
Ghaziabad,2019,11.792499999999999,0.07500000000000002,2019-01-01T00:00:00
Ghaziabad,2020,12.251000000000001,0.371,2020-01-01T00:00:00
Ghaziabad,2021,12.25,-0.36000000000000004,2021-01-01T00:00:00
Gurugram,2013,23.597631578947368,-2.311315789473684,2013-01-01T00:00:00
Gurugram,2014,22.985384615384614,-0.20923076923076925,2014-01-01T00:00:00
Gurugram,2015,24.995526315789476,0.5331578947368422,2015-01-01T00:00:00
Gurugram,2016,27.747142857142858,1.2442857142857142,2016-01-01T00:00:00
Gurugram,2017,28.747083333333336,0.3725,2017-01-01T00:00:00
Gurugram,2018,27.826031746031745,0.3892063492063492,2018-01-01T00:00:00
Gurugram,2019,30.505,0.7258333333333332,2019-01-01T00:00:00
Gurugram,2020,41.07380952380952,9.081428571428571,2020-01-01T00:00:00
Gurugram,2021,29.445000000000004,-0.8233333333333333,2021-01-01T00:00:00
Hapur,2013,8.956857142857142,-0.5862857142857143,2013-01-01T00:00:00
Hapur,2014,9.078666666666667,0.3906666666666666,2014-01-01T00:00:00
Hapur,2015,10.968,0.3295,2015-01-01T00:00:00
Hapur,2016,11.899999999999999,0.20384615384615384,2016-01-01T00:00:00
Hapur,2017,10.99576923076923,-0.13769230769230767,2017-01-01T00:00:00
Hapur,2018,11.791304347826086,0.16999999999999998,2018-01-01T00:00:00
Hapur,2019,12.372666666666667,0.05466666666666667,2019-01-01T00:00:00
Hapur,2020,11.636363636363637,0.08272727272727272,2020-01-01T00:00:00
Hapur,2021,12.49,0.02666666666666666,2021-01-01T00:00:00
Jhajjar,2013,3.1895652173913045,-0.16369565217391302,2013-01-01T00:00:00
Jhajjar,2014,4.6720512820512825,0.3974358974358974,2014-01-01T00:00:00
Jhajjar,2015,5.20258064516129,-0.006612903225806454,2015-01-01T00:00:00
Jhajjar,2016,3.4003125,-0.09562499999999999,2016-01-01T00:00:00
Jhajjar,2017,2.8915384615384614,0.024358974358974342,2017-01-01T00:00:00
Jhajjar,2018,5.563684210526316,-0.18368421052631578,2018-01-01T00:00:00
Jhajjar,2019,2.741,0.043,2019-01-01T00:00:00
Jhajjar,2020,4.586666666666667,0.962857142857143,2020-01-01T00:00:00
Jhajjar,2021,2.2654545454545456,0.4218181818181818,2021-01-01T00:00:00
Jind,2013,14.199482758620691,-0.10362068965517246,2013-01-01T00:00:00
Jind,2014,12.37829268292683,-0.19463414634146334,2014-01-01T00:00:00
Jind,2015,13.66868686868687,0.5846464646464646,2015-01-01T00:00:00
Jind,2016,14.241935483870968,0.32741935483870965,2016-01-01T00:00:00
Jind,2017,14.265925925925925,0.45691358024691353,2017-01-01T00:00:00
Jind,2018,15.857063492063492,0.39071428571428574,2018-01-01T00:00:00
Jind,2019,16.88625,0.114375,2019-01-01T00:00:00
Jind,2020,18.498510638297873,2.2674468085106385,2020-01-01T00:00:00
Jind,2021,18.5725,-0.571875,2021-01-01T00:00:00
Karnal,2013,18.144296875,-0.631328125,2013-01-01T00:00:00
Karnal,2014,18.79796875,0.38249999999999995,2014-01-01T00:00:00
Karnal,2015,18.970267857142858,0.4991964285714286,2015-01-01T00:00:00
Karnal,2016,20.404423076923077,0.9846153846153847,2016-01-01T00:00:00
Karnal,2017,21.2661797752809,-0.08629213483146067,2017-01-01T00:00:00
Karnal,2018,21.739666666666665,0.9646111111111111,2018-01-01T00:00:00
Karnal,2019,20.125697674418603,-0.46604651162790706,2019-01-01T00:00:00
Karnal,2020,20.849740259740262,0.6996103896103897,2020-01-01T00:00:00
Karnal,2021,20.71151515151515,-1.8072727272727271,2021-01-01T00:00:00
Mahendragarh,2013,14.07625,0.9550000000000001,2013-01-01T00:00:00
Mahendragarh,2014,10.36,0.7875,2014-01-01T00:00:00
Mahendragarh,2015,32.42523809523809,0.3004761904761904,2015-01-01T00:00:00
Mahendragarh,2016,21.243636363636366,-0.33363636363636356,2016-01-01T00:00:00
Mahendragarh,2017,21.430769230769233,-0.09999999999999992,2017-01-01T00:00:00
Mahendragarh,2018,28.93257142857143,0.7619999999999999,2018-01-01T00:00:00
Mahendragarh,2019,16.126,-4.140000000000001,2019-01-01T00:00:00
Mahendragarh,2020,54.29666666666666,19.99,2020-01-01T00:00:00
Mahendragarh,2021,46.23333333333333,-15.160000000000002,2021-01-01T00:00:00
Meerut,2013,10.67,-0.08531249999999996,2013-01-01T00:00:00
Meerut,2014,10.259444444444444,0.03666666666666666,2014-01-01T00:00:00
Meerut,2015,10.950357142857143,0.33749999999999997,2015-01-01T00:00:00
Meerut,2016,11.429,0.279,2016-01-01T00:00:00
Meerut,2017,12.662432432432432,0.011351351351351374,2017-01-01T00:00:00
Meerut,2018,12.672439024390245,0.21195121951219514,2018-01-01T00:00:00
Meerut,2019,12.576511627906976,0.3183720930232558,2019-01-01T00:00:00
Meerut,2020,12.590689655172413,0.12413793103448274,2020-01-01T00:00:00
Meerut,2021,13.315000000000001,-0.05599999999999998,2021-01-01T00:00:00
Muzaffarnagar,2013,8.589130434782609,0.08521739130434786,2013-01-01T00:00:00
Muzaffarnagar,2014,8.82047619047619,0.3838095238095238,2014-01-01T00:00:00
Muzaffarnagar,2015,10.978076923076923,0.43038461538461537,2015-01-01T00:00:00
Muzaffarnagar,2016,11.8945,0.09150000000000003,2016-01-01T00:00:00
Muzaffarnagar,2017,11.616000000000001,-0.104,2017-01-01T00:00:00
Muzaffarnagar,2018,12.337419354838708,0.13193548387096773,2018-01-01T00:00:00
Muzaffarnagar,2019,11.816315789473684,0.07736842105263157,2019-01-01T00:00:00
Muzaffarnagar,2020,10.57684210526316,0.010526315789473694,2020-01-01T00:00:00
Muzaffarnagar,2021,11.29,0.021666666666666664,2021-01-01T00:00:00
New Delhi,2013,14.222380952380952,0.28222222222222226,2013-01-01T00:00:00
New Delhi,2014,13.954807692307693,0.42615384615384616,2014-01-01T00:00:00
New Delhi,2015,14.12326923076923,-0.17961538461538465,2015-01-01T00:00:00
New Delhi,2016,14.0805,0.052750000000000005,2016-01-01T00:00:00
New Delhi,2017,13.559142857142858,0.5071428571428571,2017-01-01T00:00:00
New Delhi,2018,13.06,0.06853658536585366,2018-01-01T00:00:00
New Delhi,2019,12.6475,-0.16138888888888892,2019-01-01T00:00:00
New Delhi,2020,12.141176470588235,-0.40705882352941175,2020-01-01T00:00:00
New Delhi,2021,13.17909090909091,-0.7654545454545455,2021-01-01T00:00:00
North Delhi,2013,1.4825000000000002,-0.08749999999999997,2013-01-01T00:00:00
North Delhi,2014,1.9575,0.17250000000000004,2014-01-01T00:00:00
North Delhi,2015,2.0300000000000002,-0.08999999999999998,2015-01-01T00:00:00
North Delhi,2016,2.033333333333333,-0.03999999999999995,2016-01-01T00:00:00
North Delhi,2017,1.85,0.32,2017-01-01T00:00:00
North Delhi,2018,2.7566666666666664,-0.023333333333333428,2018-01-01T00:00:00
North Delhi,2019,1.9475,0.14500000000000002,2019-01-01T00:00:00
North Delhi,2020,0.41,-1.95,2020-01-01T00:00:00
North Delhi,2021,1.92,1.51,2021-01-01T00:00:00
North West Delhi,2013,7.7,-3.11625,2013-01-01T00:00:00
North West Delhi,2014,3.925,0.3125,2014-01-01T00:00:00
North West Delhi,2015,3.9,-0.18,2015-01-01T00:00:00
Nuh,2013,10.248181818181818,1.2311363636363637,2013-01-01T00:00:00
Nuh,2014,9.7075,0.48874999999999996,2014-01-01T00:00:00
Nuh,2015,8.212424242424243,-0.15636363636363632,2015-01-01T00:00:00
Nuh,2016,5.4783333333333335,0.40166666666666667,2016-01-01T00:00:00
Nuh,2017,5.3591999999999995,-0.1508,2017-01-01T00:00:00
Nuh,2018,7.486538461538462,0.04038461538461539,2018-01-01T00:00:00
Nuh,2019,5.045454545454546,0.4040909090909091,2019-01-01T00:00:00
Nuh,2020,10.542,2.7095,2020-01-01T00:00:00
Nuh,2021,4.2875,-0.11125000000000002,2021-01-01T00:00:00
Palwal,2013,7.031363636363636,-1.5388636363636363,2013-01-01T00:00:00
Palwal,2014,6.913333333333333,0.34939393939393937,2014-01-01T00:00:00
Palwal,2015,8.395813953488371,0.4190697674418605,2015-01-01T00:00:00
Palwal,2016,7.680000000000001,0.12566666666666665,2016-01-01T00:00:00
Palwal,2017,7.65888888888889,0.13,2017-01-01T00:00:00
Palwal,2018,8.11017543859649,0.17771929824561403,2018-01-01T00:00:00
Palwal,2019,9.06578947368421,0.2944736842105263,2019-01-01T00:00:00
Palwal,2020,11.07,1.8895454545454546,2020-01-01T00:00:00
Palwal,2021,8.106666666666667,0.020000000000000007,2021-01-01T00:00:00
Panipat,2013,14.986774193548388,0.03306451612903222,2013-01-01T00:00:00
Panipat,2014,15.614615384615385,0.3928846153846154,2014-01-01T00:00:00
Panipat,2015,17.288529411764703,0.7897058823529413,2015-01-01T00:00:00
Panipat,2016,16.065483870967743,0.600967741935484,2016-01-01T00:00:00
Panipat,2017,16.4936,-0.8056,2017-01-01T00:00:00
Panipat,2018,17.18663043478261,0.33282608695652177,2018-01-01T00:00:00
Panipat,2019,17.77139534883721,-2.781395348837209,2019-01-01T00:00:00
Panipat,2020,23.385238095238094,5.962857142857143,2020-01-01T00:00:00
Panipat,2021,18.20714285714286,-4.347857142857142,2021-01-01T00:00:00
Rewari,2013,24.035666666666668,-0.7296666666666667,2013-01-01T00:00:00
Rewari,2014,15.109444444444446,0.07666666666666672,2014-01-01T00:00:00
Rewari,2015,16.91923076923077,0.10205128205128211,2015-01-01T00:00:00
Rewari,2016,18.532777777777778,-0.30333333333333334,2016-01-01T00:00:00
Rewari,2017,28.327368421052633,0.7331578947368421,2017-01-01T00:00:00
Rewari,2018,19.620491803278686,0.15491803278688523,2018-01-01T00:00:00
Rewari,2019,28.875999999999998,-2.1713333333333327,2019-01-01T00:00:00
Rewari,2020,30.807777777777776,6.0438888888888895,2020-01-01T00:00:00
Rewari,2021,29.264,-1.042,2021-01-01T00:00:00
Rohtak,2013,3.3636,-1.0362,2013-01-01T00:00:00
Rohtak,2014,3.9975862068965515,0.4579310344827586,2014-01-01T00:00:00
Rohtak,2015,3.3461538461538463,-0.054423076923076914,2015-01-01T00:00:00
Rohtak,2016,4.227826086956521,-0.17260869565217393,2016-01-01T00:00:00
Rohtak,2017,5.008333333333334,0.16033333333333336,2017-01-01T00:00:00
Rohtak,2018,3.137910447761194,-0.12791044776119403,2018-01-01T00:00:00
Rohtak,2019,4.952857142857143,0.1442857142857143,2019-01-01T00:00:00
Rohtak,2020,4.5076,0.8784000000000001,2020-01-01T00:00:00
Rohtak,2021,4.034285714285714,-0.09,2021-01-01T00:00:00
Shamli,2013,17.231,-0.022999999999999975,2013-01-01T00:00:00
Shamli,2014,16.257142857142856,-0.35571428571428576,2014-01-01T00:00:00
Shamli,2015,14.82818181818182,0.46181818181818185,2015-01-01T00:00:00
Shamli,2016,19.22142857142857,0.1542857142857143,2016-01-01T00:00:00
Shamli,2017,16.677272727272726,-0.5636363636363636,2017-01-01T00:00:00
Shamli,2018,15.067499999999999,-1.0137500000000004,2018-01-01T00:00:00
Shamli,2019,12.9225,0.08750000000000005,2019-01-01T00:00:00
Shamli,2020,12.198888888888888,0.08333333333333334,2020-01-01T00:00:00
Shamli,2021,12.57,-0.2866666666666667,2021-01-01T00:00:00
Sonipat,2013,8.680942028985507,-0.6656521739130434,2013-01-01T00:00:00
Sonipat,2014,9.453627450980392,0.45303921568627453,2014-01-01T00:00:00
Sonipat,2015,9.278695652173914,-0.009420289855072475,2015-01-01T00:00:00
Sonipat,2016,11.316197183098593,0.6708450704225353,2016-01-01T00:00:00
Sonipat,2017,10.758829787234044,-0.34968085106382985,2017-01-01T00:00:00
Sonipat,2018,10.744539473684211,0.44151315789473683,2018-01-01T00:00:00
Sonipat,2019,10.618472222222222,0.2268055555555556,2019-01-01T00:00:00
Sonipat,2020,10.297638888888889,0.5290277777777778,2020-01-01T00:00:00
Sonipat,2021,9.291304347826086,-1.2778260869565217,2021-01-01T00:00:00
South West Delhi,2013,1.58,-0.43,2013-01-01T00:00:00
South West Delhi,2014,2.24,0.66,2014-01-01T00:00:00
South West Delhi,2015,2.175,0.0625,2015-01-01T00:00:00
South West Delhi,2016,2.445,-0.20500000000000002,2016-01-01T00:00:00
South West Delhi,2017,2.21,0.10500000000000001,2017-01-01T00:00:00
South West Delhi,2018,1.3459999999999999,-0.3,2018-01-01T00:00:00
South West Delhi,2019,1.25,0.095,2019-01-01T00:00:00
South West Delhi,2020,1.71,-0.09999999999999998,2020-01-01T00:00:00
South West Delhi,2021,1.48,0.18,2021-01-01T00:00:00
West,2013,10.486052631578946,0.35657894736842116,2013-01-01T00:00:00
West,2014,11.0171875,0.443125,2014-01-01T00:00:00
West,2015,11.460625,-0.16781249999999998,2015-01-01T00:00:00
West,2016,11.687777777777777,0.04037037037037038,2016-01-01T00:00:00
West,2017,11.833333333333334,-0.046666666666666676,2017-01-01T00:00:00
West,2018,12.666060606060606,0.11909090909090911,2018-01-01T00:00:00
West,2019,11.60448275862069,-0.17724137931034484,2019-01-01T00:00:00
West,2020,11.237142857142857,0.10500000000000001,2020-01-01T00:00:00
West,2021,10.984285714285715,-0.8328571428571429,2021-01-01T00:00:00
West Delhi,2013,10.486052631578946,0.35657894736842116,2013-01-01T00:00:00
West Delhi,2014,11.0171875,0.443125,2014-01-01T00:00:00
West Delhi,2015,11.460625,-0.16781249999999998,2015-01-01T00:00:00
West Delhi,2016,11.687777777777777,0.04037037037037038,2016-01-01T00:00:00
West Delhi,2017,11.833333333333334,-0.046666666666666676,2017-01-01T00:00:00
West Delhi,2018,12.666060606060606,0.11909090909090911,2018-01-01T00:00:00
West Delhi,2019,11.60448275862069,-0.17724137931034484,2019-01-01T00:00:00
West Delhi,2020,11.237142857142857,0.10500000000000001,2020-01-01T00:00:00
West Delhi,2021,10.984285714285715,-0.8328571428571429,2021-01-01T00:00:00
