Level,Name,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06
DISTRICT,Karnal,1505324,797712,707612,196610,107797,88813
DISTRICT,Karnal,1050514,557110,493404,142691,78011,64680
DISTRICT,Karnal,454810,240602,214208,53919,29786,24133
DISTRICT,Panipat,1205437,646857,558580,169662,92380,77282
DISTRICT,Panipat,650352,349642,300710,94584,51786,42798
DISTRICT,Panipat,555085,297215,257870,75078,40594,34484
DISTRICT,Sonipat,1450001,781299,668702,188262,104693,83569
DISTRICT,Sonipat,996637,538750,457887,132007,73328,58679
DISTRICT,Sonipat,453364,242549,210815,56255,31365,24890
DISTRICT,Jind,1334152,713006,621146,168554,91710,76844
DISTRICT,Jind,1028569,550519,478050,131390,71437,59953
DISTRICT,Jind,305583,162487,143096,37164,20273,16891
DISTRICT,Bhiwani,1634445,866672,767773,212011,115756,96255
DISTRICT,Bhiwani,1313123,696212,616911,172608,94039,78569
DISTRICT,Bhiwani,321322,170460,150862,39403,21717,17686
DISTRICT,Rohtak,1061204,568479,492725,129330,71041,58289
DISTRICT,Rohtak,615040,332034,283006,77793,42691,35102
DISTRICT,Rohtak,446164,236445,209719,51537,28350,23187
DISTRICT,Jhajjar,958405,514667,443738,120051,67380,52671
DISTRICT,Jhajjar,715066,384219,330847,89704,50465,39239
DISTRICT,Jhajjar,243339,130448,112891,30347,16915,13432
DISTRICT,Mahendragarh,922088,486665,435423,111181,62638,48543
DISTRICT,Mahendragarh,789233,416358,372875,95381,53778,41603
DISTRICT,Mahendragarh,132855,70307,62548,15800,8860,6940
DISTRICT,Rewari,900332,474335,425997,113893,63743,50150
DISTRICT,Rewari,666902,349710,317192,84052,47154,36898
DISTRICT,Rewari,233430,124625,108805,29841,16589,13252
DISTRICT,Gurgaon,1514432,816690,697742,202602,110705,91897
DISTRICT,Gurgaon,472179,251462,220717,67473,37469,30004
DISTRICT,Gurgaon,1042253,565228,477025,135129,73236,61893
DISTRICT,Nuh ,1089263,571162,518101,248128,130168,117960
DISTRICT,Nuh ,965157,506086,459071,225069,117967,107102
DISTRICT,Nuh ,124106,65076,59030,23059,12201,10858
DISTRICT,Faridabad,1809733,966110,843623,251955,136679,115276
DISTRICT,Faridabad,370878,198103,172775,60653,33077,27576
DISTRICT,Faridabad,1438855,768007,670848,191302,103602,87700
DISTRICT,Palwal ,1042708,554497,488211,177494,95132,82362
DISTRICT,Palwal ,806164,428907,377257,143766,76705,67061
DISTRICT,Palwal ,236544,125590,110954,33728,18427,15301
DISTRICT,North West Delhi,3656539,1960922,1695617,449894,241169,208725
DISTRICT,North West Delhi,213950,115680,98270,28936,15894,13042
DISTRICT,North West Delhi,3442589,1845242,1597347,420958,225275,195683
DISTRICT,North Delhi,887978,475002,412976,103304,55155,48149
DISTRICT,North Delhi,17746,9546,8200,2391,1268,1123
DISTRICT,North Delhi,870232,465456,404776,100913,53887,47026
DISTRICT,North East Delhi,2241624,1188425,1053199,301947,160583,141364
DISTRICT,North East Delhi,21527,11718,9809,3386,1839,1547
DISTRICT,North East Delhi,2220097,1176707,1043390,298561,158744,139817
DISTRICT,East Delhi,1709346,907500,801846,194357,103902,90455
DISTRICT,East Delhi,3530,1861,1669,374,218,156
DISTRICT,East Delhi,1705816,905639,800177,193983,103684,90299
DISTRICT,New Delhi,142004,77942,64062,12760,6738,6022
DISTRICT,New Delhi,0,0,0,0,0,0
DISTRICT,New Delhi,142004,77942,64062,12760,6738,6022
DISTRICT,Central Delhi,582320,307821,274499,62739,32928,29811
DISTRICT,Central Delhi,0,0,0,0,0,0
DISTRICT,Central Delhi,582320,307821,274499,62739,32928,29811
DISTRICT,West Delhi,2543243,1356240,1187003,288421,154088,134333
DISTRICT,West Delhi,6420,3355,3065,931,521,410
DISTRICT,West Delhi,2536823,1352885,1183938,287490,153567,133923
DISTRICT,South West Delhi,2292958,1246046,1046912,267989,145285,122704
DISTRICT,South West Delhi,143676,77342,66334,18901,10587,8314
DISTRICT,South West Delhi,2149282,1168704,980578,249088,134698,114390
DISTRICT,South Delhi,2731929,1467428,1264501,331043,175592,155451
DISTRICT,South East Delhi,2220637.5,1187464,1033173.5,262700,139747,122953
DISTRICT,South East Delhi,7861.5,4340,3521.5,1085.5,575,510.5
DISTRICT,South East Delhi,2212776,1183124,1029652,261614.5,139172,122442.5
DISTRICT,South Delhi,12193,6819,5374,1797,932,865
DISTRICT,South Delhi,2719736,1460609,1259127,329246,174660,154586
DISTRICT,Alwar,3674179,1939026,1735153,587959,315270,272689
DISTRICT,Alwar,3019728,1589508,1430220,502526,269105,233421
DISTRICT,Alwar,654451,349518,304933,85433,46165,39268
DISTRICT,Bharatpur,2548462,1355726,1192736,436165,233323,202842
DISTRICT,Bharatpur,2053363,1093357,960006,368292,196675,171617
DISTRICT,Bharatpur,495099,262369,232730,67873,36648,31225
DISTRICT,Muzaffarnagar,4143512,2193434,1950078,646062,346805,299257
DISTRICT,Muzaffarnagar,2952200,1565004,1387196,471375,253186,218189
DISTRICT,Muzaffarnagar,1191312,628430,562882,174687,93619,81068
DISTRICT,Meerut,3443689,1825743,1617946,503719,272034,231685
DISTRICT,Meerut,1684507,894920,789587,267252,144053,123199
DISTRICT,Baghpat,1303048,700070,602978,194979,105924,89055
DISTRICT,Baghpat,1028023,553807,474216,154270,83995,70275
DISTRICT,Baghpat,275025,146263,128762,40709,21929,18780
DISTRICT,Ghaziabad,4681645,2488834,2192811,681231,368162,313069
DISTRICT,Ghaziabad,1519098,808222,710876,248759,134152,114607
DISTRICT,Ghaziabad,3162547,1680612,1481935,432472,234010,198462
DISTRICT,Gautam Buddha Nagar,1648115,890214,757901,246598,133835,112763
DISTRICT,Gautam Buddha Nagar,673806,359605,314201,109480,59951,49529
DISTRICT,Gautam Buddha Nagar,974309,530609,443700,137118,73884,63234
DISTRICT,Bulandshahr ,3499171,1845260,1653911,549796,296558,253238
DISTRICT,Bulandshahr ,2631742,1390490,1241252,422617,228415,194202
DISTRICT,Bulandshahr ,867429,454770,412659,127179,68143,59036
